_id,Company_NM,Detail_Category,Position_NM,URL,MainTask,Qual,Qual2
5f294bed88c9683752dc8467,두손컴퍼니,기업영업,[품고] 물류센터 영업관리 매니저,https://www.wanted.co.kr/wd/26433,"• 신규 고객사 컨설팅
• 신규 계약 체결: 인바운드 상담 및 신규 영업자료 개발
• 신규 영업선 발굴: 새로운 협력사 및 신규 영업기회 발굴
• 기존 계약 유지
• 신규 서비스  기획","• 필요역량: 
1. 업무 우선순위 설정 능력
2. 문제해결 능력 및 문제해결 과정을 즐길 수 있는 역량
3. 고객 중심적 사고","• 커머스 관련 경험
• 물류 기업 근무 혹은 물류 관련 경험
• 스타트업 및 사회적 기업 근무 경험"
5f294bed88c9683752dc8468,비바리퍼블리카(Toss),기업영업,[토스페이먼츠] Business Development Manager,https://www.wanted.co.kr/wd/41296,"• 토스 페이먼츠 주요 가맹점 담당으로 가맹점 매출 증대 및 수익 창출을 위한 컨설팅
• 토스 페이먼츠 거래액 확대를 위한 신규 가맹점 영업 전략 수립 및 실행
• 토스 페이먼츠 주요 서비스 및 사업 전략 수립부터 출시 운영까지 전반의 역할 수행
• 영업 및 신사업 기회 극대화를 위한 분석 지표 디자인, 관리, 모니터링","• 영업 및 사업개발/제휴 경험 3년 이상 보유한 분 (영업 경험 필수)
• 적극적/공격적인 업무 진행 성향을 가지고 계신 분
• 논리적인 사고로 뛰어난 문제해결 능력을 가지신 분
• 탁월한 커뮤니케이션 스킬 및 협상 능력을 보유하고 계신 분
• 실패를 두려워하지 않고, 집요하게 목표달성을 위해 도전하시는 분","• PG, 핀테크, B2B 세일즈 경험이 있으신 분
• 금융기관 제휴, VAN 서비스 기획 및 제휴 경험이 있으신 분
• PG사 또는 카드사 및 VAN 사 대외협력 경험이 있으신 분"
5f294bed88c9683752dc8469,비바리퍼블리카(Toss),기업영업,[토스페이먼츠] Customer Success Manager,https://www.wanted.co.kr/wd/41295,"• Sales Team BDM 들과 협업하여 주요 가맹점들을 보다 효율적으로 관리할 수 있는 체계 수립
• 담당 주요 가맹점 거래액 및 수익 증대를 위한 각종 활동 기획 및 실행 (프로모션 기획/새로운 마케팅 방법론 제시 등)
• 프로모션/마케팅 등 가맹점 수익 증대를 위한 효율 분석 기반의 예산 설정 및 관리
• 우수한 프로모션/마케팅 사례를 기반으로 Sales Deck 을 제작하여 역량 내재화 및 성공사례 전파
• 사내 주요 유관 부서들과의 밀접한 협업을 통해 주요 가맹점들의 불만사항을 제거하고, 만족도 향상","• 영업/영업지원/사업개발/제휴 등의 업무 경험을 3년 이상 보유한 분
• 적극적/공격적 업무 진행 성향을 가지고 계신 분
• 논리적인 사고로 뛰어난 문제해결 능력을 가지고 계신 분
• 내외부 player 들 사이의 이해관계 조정에 뛰어난 역량을 가지고 계신 분
• 실패를 두려워하지 않고, 집요하게 목표 달성을 위해 도전하시는 분","• PG, 핀테크, B2B 등의 영역에서 세일즈 및 영업지원 경험이 있는 분
• 숫자에 대한 감각과 데이터에 대한 기본적인 이해가 있으셔서, 효율 분석 등이 가능한 분
• 다양한 프로젝트 경험 및 성공 사례를 만들어 확산 시켜본 적이 있는 분"
5f294bed88c9683752dc846a,비바리퍼블리카(Toss),기업영업,[토스페이먼츠] SMB Account Manager,https://www.wanted.co.kr/wd/41294,"• 토스 페이먼츠 SMB 가맹점 담당으로 영업 관리 (해당 가맹점 실적 및 관계 관리)
• 담당 SMB 가맹점 거래액 및 수익 증대를 위한 각종 활동 기획 및 실행 (프로모션 등 사업 확대를 위한 지원 활동)
• 담당 SMB 가맹점 해지 징후 파악의 방법론 설계 및 실제 해지 방어 수행","• 1년 이상의 영업, 고객상담, 고객응대 경험이 있으신 분 (대면/비대면 모두 가능)
• 탁월한 커뮤니케이션 스킬 및 협상 능력을 보유하고 계신 분
• 숫자에 대한 감각과 데이터에 대한 기본적인 이해를 바탕으로 정책/체계를 수립해본 적이 있으신 분
• 뛰어난 문제 해결 능력 및 높은 에너지 레벨을 보유하고 계신 분","• PG, 핀테크 등 유사한 업종에서 B2B 세일즈 및 고객응대 경험이 있으신 분
• 빠른 속도로 여러가지 문제들을 동시에 다룰 수 있으신 분
• 긍정적인 에너지와 자신감이 넘치시는 분"
5f294bed88c9683752dc846b,트라이어스앤컴퍼니,기업영업,영업 담당자,https://www.wanted.co.kr/wd/34517,"• 영업 상품 판매
- 아웃바운드 제안을 통한 상품 가치 전달 및 광고주 미팅, 계약 체결
- 광고 매체서 작성 및 온라인 마케팅
- 광고 상품에 대한 문의 응대 및 커뮤니케이션

• 고객 관리
- 기존 고객과 주요 광고주 관계 구축을 통한 이탈 방지 및 파트너십 증진
- 신규 고객 발굴 및 유치
- 핵심 고객 분석 및 관리방안 마련

• 매출 점검 및 고객 요구사항 분석
- 영업 실적 및 매출 분석

• 영업 전략 수립 및 프로세스 고도화
- 고객별/시기별 영업 전략 및 프로모션 기획
- 매출 증대 방안 수립
- 영업 프로세스 고도화 및 데이터 관리","• IT/광고/식품 영업 업무 경력 5년 이상
• 비즈니스 및 숫자 감각에 뛰어나고 전략적 사고를 통한 문제 해결 역량이 뛰어나신 분
• 영업 피드백을 통한 서비스 개선 제안 및 관련 부서와의 원활한 협업/커뮤니케이션 능력을 갖춘 분","• 데이터 분석 및 프로세스 고도화 경험이 있는 분
• B2B 마케팅 전략 수립 및 실행 유경험자
• 영업 직무 경력이 있는 분
• 광고 인적 네트워크 보유자
• 스타트업 근무 경력이 있는 분
• 동종업계 경력자"
5f294bed88c9683752dc846c,쓰리아이(3i corporation),기업영업,US Sales Manager,https://www.wanted.co.kr/wd/41087,"[What you will do]

• US market Sales for 3i INSITE
• Secure large opportunities with new accounts to meet sales orders target
• Build and develop a robust pipeline of opportunities to support and deliver sustained future growth
• Uncover and effectively articulate customer pains and desired outcomes in order for the most appropriate solutions to be designed
• Maintain accurate real-time information on opportunities to enable effective forecasting and planning.
• Understand the customer business goals, anticipate future needs, leverage new technologies and help determine ideal solutions
• Responsible for the performance and development of account, including post sales
• Create and conduct presentations to potential customers
• Prepare and submit accurate, competitive and completed proposals, while striving to maintain maximum profit margin","[What we expect from you]

• 3+ years B2B Sales experience 
• 2+ years relevant enterprise technology sales experience  
• Good understanding of the US market and International sales 
• Native English language skills (verbal and written)
• Knowledge of accounting and business processes in order to relate to the business needs of CEO’s, CTO’s;
• Ability to perform self-directed research of prospective companies and people
• Effective presentation skills and confidence presenting proposals and solutions to top executives","[It is a plus if you have]

• Prior experience in selling ERP (SAP, Oracle and Salesforce) or similar solutions would be advantageous
• Experience of working within a Digital/ Tech business in a sales position
• Possess strong sales background with a successful track record of handling high value sales cycles
• Previously experience of building and leading sales teams"
5f294bed88c9683752dc846d,인공지능연구원,기업영업,영업사원,https://www.wanted.co.kr/wd/40968,"인공지능연구원은 보험 사업을 혁신할 수 있는 AI서비스를 만들었습니다.
그 서비스를 보험업에 종사하는 사람들에게 설명하고 전파하는 업무를 하실 분을 찾습니다.","• 각종 IT 서비스 앱을 잘 사용하시고, 새로운 앱 서비스를 설명해주실 수 있는 분과 함께 하고 싶습니다.
• 보험과 금융에 대한 이해가 어느정도 있으시면 좋겠습니다.","• 제약,자동차,보험 영업 경력자 우대
• O2O 영업 경력자 우대"
5f294bed88c9683752dc846e,스팬딧(Spendit),기업영업,Enterprise Sales,https://www.wanted.co.kr/wd/27474,"1. 영업전략 Planning (타겟 설계, 세일즈 채널 확보 등) 
2. 고객사 유치 및 관리 (메일링, 계약 갱신)
3. 영업 피드백을 통한 서비스 개선 제안 및 관련 부서와 협업","- 학력 : 대졸이상
- 경력 : 신입/경력","- Data기반 영업 컨설팅 및 성과 관리 경험이 있으신 분
- ERP/회계 프로그램 사용 경험자
- 전략 기획 및 영업 실무 경력자 (컨설팅, 전략기획 경험자)
- 문제점에 대한 개선 포인트를 도출하여 프로세스를 재정립하거나 구조화한 경험이 있으신 분
- 동종 업계 근무 경력"
5f294bed88c9683752dc846f,룰루랩(lululab),기업영업,영업 담당자,https://www.wanted.co.kr/wd/40959,"• 국내영업, 영업계획 수립 및 실적관리 (B2B)
• 고객사 발굴 및 기존 고객사 관리
• 영업전반업무, 성과관리","• 경력 : 5년 이상~
            *뷰티디바이스/화장품 영업 관련 경력 보유자
• 학력 : 대학교(4년) 졸업 이상","- 뷰티산업을 이해하며 전략을 세울 수 있는 분
- 뷰티산업 세일즈 경력 보유자
- 글로벌 비즈니스를 위한 영어
- 원활한 커뮤니케이션 능력자
- 함께 회사를 키워가고 주도적으로 업무를 진행하실 분
- 적극적이고 꼼꼼한 성격의 소유자"
5f294bed88c9683752dc8470,그렙(grepp),기업영업,B2B 영업담당자,https://www.wanted.co.kr/wd/8661,"• 프로그래머스(개발자 채용, 평가, 교육) 및 모니토(온라인 화상감독) 서비스 상품을 기업/학교 고객에게 소개하고 고객사를 확보
• 담당자의 만남부터 제안 과정의 제반 업무 수행, 프로젝트의 운영과 고객사 관리 등 영업활동의 전반적인 부분을 담당하게 됩니다. 
• 상품을 개발하고, 수익모델을 설계합니다.","아래의 자격 요건 중 1가지 이상 해당된다면 지원 가능합니다. 

• HR서비스 및 IT관련 영업관련 최소 2년 이상 경력자.
- 다만 직무 소개 내용이 본인 역량과 부합하다고 판단한다면 신입도 지원 가능합니다.
• 신규고객 발굴 고객관리에 대해 적극적으로 진행할 수 있으며, 매출달성에 대해 즐거움을 느끼는 분
• 프로젝트에 대한 강한 책임감과 정확하고 원만한 커뮤니케이션 스킬을 보유하신 분
• 제안서 작업과 제안발표 등 제안과정의 제반사항에 대해 높은 경험치를 보유한 분
• 신규 서비스 상품 개발 및 설계에 대한 이해도가 있는 분","• 채용 매체사, 서치펌 관련 경력자
• 기업 인사팀과 대학교 영업 경험이 있거나 HR서비스 근무 경험이 있으신 분
• 컴퓨터공학 학사 전공자
- 우대사항일뿐 조건에 충족하지 않아도 지원할 수 있습니다."
